

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, -1, 1, -1, 1, -1], [1, 1, -1, -1, 1, 1, -1, -1], [1, -1, -1, 1, 1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, -1], [1, -1, 1, -1, -1, 1, -1, 1], [1, 1, -1, -1, -1, -1, 1, 1], [1, -1, -1, 1, -1, 1, 1, -1]]        
------------------------------------------------------------------------------------


07/10/2021 12:57:51 ||| SENDER-6     ||  STARTS SENDING TO RECEIVER-6
07/10/2021 12:57:58 ||| SENDER-2     ||  DATA BIT SEND 11, -1, 1, -1]
07/10/2021 12:57:58 ||| CHANNEL...   ||  [1, 1, 1, 1, -1, -1, -1, -1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [1, 1, -1, -1, -1, -1, 1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [1, -1, -1, 1, -1, 1, 1, -1]
07/10/2021 12:57:59 ||| SENDER-3     ||  DATA BIT SEND 11, -1, -1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [1, 1, -1, -1, 1, 1, -1, -1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [1, 1, 1, 1, 1, 1, 1, 1]
07/10/2021 12:57:59 ||| RECEIVER-3   ||  BIT RECEIVED : 1
07/10/2021 12:57:59 ||| RECEIVER-8   ||  BIT RECEIVED : 1
07/10/2021 12:57:59 ||| SENDER-2     ||  DATA BIT SEND -1 1, 1, 1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [-1, 1, -1, 1, -1, 1, -1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [-1, 1, 1, -1, 1, -1, -1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [-1, -1, 1, 1, 1, 1, -1, -1]
07/10/2021 12:57:59 ||| SENDER-1     ||  DATA BIT SEND -11, -1, 1, 1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [-1, -1, -1, -1, -1, -1, -1, -1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [-1, 1, -1, 1, 1, -1, 1, -1]
07/10/2021 12:57:59 ||| CHANNEL...   ||  [-1, 1, 1, -1, -1, 1, 1, -1]
07/10/2021 12:57:59 ||| RECEIVER-6   ||  BIT RECEIVED : 0
07/10/2021 12:58:00 ||| CHANNEL...   ||  [1, -1, 1, -1, 1, -1, 1, -1]
07/10/2021 12:58:00 ||| CHANNEL...   ||  [1, 1, 1, 1, -1, -1, -1, -1]
07/10/2021 12:58:00 ||| SENDER-7     ||  DATA BIT SEND 1-1, -1, 1, 1]
07/10/2021 12:58:00 ||| CHANNEL...   ||  [1, -1, -1, 1, -1, 1, 1, -1]
07/10/2021 12:58:00 ||| SENDER-1     ||  DATA BIT SEND 1 1, 1, 1]
07/10/2021 12:58:00 ||| CHANNEL...   ||  [1, -1, 1, -1, -1, 1, -1, 1]
07/10/2021 12:58:00 ||| CHANNEL...   ||  [1, 1, -1, -1, 1, 1, -1, -1]
